This view is held by the <b>generality</b> of leading scholars.	most of a group of people or things; majority  主体
She sat down to <b>conceal</b> the fact that she was trembling.	to hide sb/sth  隐藏，隐瞒
Its purpose is to hold programs and data that are currently in use and thereby serve as a high speed <b>intermediary</b> between the CPU (central processing unit) and the much slower storage, which most commonly consists of one or more hard disk drives (HDDs).	中间人
Television is an effective <b>means</b> of communication.	an action, an object or a system by which a result is achieved.  方法，途径
<b>mice</b>	mouse 鼠标
The kernel is a program that <b>constitutes</b> the central core of a computer operating system.	to be considered to be sth  被看作是，被认为是
If such program is a critical to the operation of the kernel, the entire computer could <b>stall</b> or shut down.	to stop suddenly because of a lack of power or speed 熄火，抛锚 
 The BIOS is an independent program stored in a chip on the motherboard (the main <b>circuit board</b> of a computer) that is used during the booting process for such tasks as initializing the hardware and loading the kernel into memory.	电路板
 Whereas the BIOS always remains in the computer and is <b>specific</b> to its particular hardware, the kernel can be easily replaced or upgraded by changing or upgrading the operating system or, in the case of Linux, by adding a newer kernel or modifying an existing kernel.	existing only in one place or limited to one thing 特定的
Linux is far more flexible in that there are numerous versions of the Linux kernel, and each of these can be modified in innumerable ways by an <b>informed</b> user.	having or showing a lot of knowledge about a particular subject or situation 有学问的，有学识的
Linux is far more flexible in that there are numerous versions of the Linux kernel, and each of these can be modified in <b>innumerable</b> ways by an informed user.	too many to be counted  多得数不清的
The Mach Operating System was developed at Carnegie-Mellon University as a <b>compatible</b> extension of the UNIX 1 operating system providing advanced operating system features, such as threads and support for multi-processors.	(of machine, especially computers) able to be used together 兼容的
Each has its own <b>advocates</b> and detractors.	a person who supports or speaks in favour of sb or of a public plan or action  拥护者，支持者
Each has its own advocates and <b>detractors</b>.	a person who tries to make sb/sth less good or valuable by criticizing it 诋毁者，贬低者
<b>Monolithic</b> kernels	巨大的
Hybrid kernels are similar to microkernels, except that they include additional code in kernel space so that such code can run more <b>swiftly</b> than it would were it in user space.	happening or done quickly and immediately 快速的，迅速的  这里是副词，意思是“快速地”
A major advantage of exokernel-based systems is that they can <b>incorporate</b> multiple library operating systems, each exporting a different API (application programming interface), such as one for Linux and one for Microsoft Windows, thus making it possible to simultaneously run both Linux and Windows applications.	to include sth so that it forms a part of sth 将...包括在内，吸收，使并入
<b>Proponents</b> of microkernels point out that monolithic kernels have the disadvantage that an error in the kernel can cause the entire system to crash.	支持者
This ability to <b>miniaturize</b> its kernel has also led to a rapid growth in the use of Linux in embedded systems (i.e., computer circuitry built into other products).	to make a much smaller version of sth  使微型化
Although microkernels are very small by themselves, in combination with all their required <b>auxiliary</b> code they are, in fact, often larger than monolithic kernels.	giving help or support  辅助的
Advocates of monolithic kernels also point out that the two-<b>tiered</b> structure of microkernel systems, in which most of the operating system does not interact directly with the hardware, creates a not-insignificant cost in terms of system efficiency.	(in compounds) having the number of tiers （构成复合词）... 层的 这里“two-tiered”是“两层的”意思
The seating is arranged in <b>tiers</b>.	a row or layer of sth that has several rows or layers placed one above the other  级，阶，层
Advocates of monolithic kernels also point out that the two-tiered structure of microkernel systems, in which most of the operating system does not interact directly with the hardware, creates a not-insignificant cost <b>in terms of</b> system efficiency.	used to show what aspect of a subject you are talking about or how you are thinking about it  谈及，就...而言
Data flowing through a pipe can be <b>tapped</b> and placed in a file (but not another pipe) with the <i>tee</i> command, which is not part of the shell, but is nonetheless handy for manipulating pipes.	to put sth into machine  输入
Data flowing through a pipe can be tapped and placed in a file (but not another pipe) with the <i>tee</i> command, which is not part of the shell, but is <b>nonetheless</b> handy for manipulating pipes.	nevertheless  尽管如此
The <b>neutral</b> wire in a plug.	having neither a positive nor a negative electrical charge  中性的，不带电的
The <b>senate</b> of Harvard University.	the group of people who control a university  （某些国家的）大学理事会
As a result of my <b>occupation</b>, I think I know a bit about where operating systems are going in the next decade or so.	a job or profession  工作，职业
Two aspects <b>stand out</b>.	to be easily seen; to be noticeable  显眼，突出
