<b>ingest</b>	to take food, drugs, etc. into your body, usually by swallowing 摄入
Always chew food well before <b>swallowing</b> it.	swallow:  to make food, drink, etc. go down your throat into your stomach  吞下
She's <b>fluent</b> in Polish.	able to speak, read or write a language, especially a foreign language, easily and well  流利的
<b>dispatcher</b>	a person whose job is to see that trains, buses, planes, etc. leave on time  （火车、公交车、飞机等）调度员
a monthly news <b>digest</b>	a short report containing the most important facts of a longer report or piece of writing; a collection of short reports  摘要  这个短语的意思是：“每月新闻摘要”
the ability of the virus to <b>mutate</b> into new forms	to develop or make sth develop a new form or structure, because of a GENETIC change  （使）变异，突变
The children were having fun, chasing each other's <b>shadows</b>.	shadow:  the dark shape that sb/sth's form makes on a surface, for example on the ground, when they are between the light and the surface  影子
a local <b>scheme</b> for recycling newspapers	a plan or system for doing or organizing sth  计划，方案
<b>arcane</b>	secret and mysterious and therefore difficult to understand  神秘的，晦涩难懂的
The first word in the line <b>is taken to be</b> the command name.	look on or consider 被视为...
<b>viper</b>	蝰蛇
<b>glossary</b>	a list of technical or special words, especially those in a particular text, explaining their meanings 词汇表
