international <b>airlines</b>	a company that provides regular flights to take passagers and goods to different place  航空公司	toeic
I asked the woman behind the <b>counter</b> if they had any postcards.	a long flat surface over which goods are sold or bussiness is done in a shop/store, bank, etc.  柜台	toeic
A lot of lost property is never <b>claimed</b>.	claim: to demand or ask for sth because you believe it is your legal right to own or to have it  认领	toeic
To change a <b>itinerary</b>	a plan of a journey, including the route and the places that you visit  行程	toeic
To request a <b>refund</b>	a sum of money that is paid back to you, especially you paid too much or because you returned goods to a shop/store  退款	toeic
A <b>departure</b> time	the act of leaving a place 离开	toeic
Creating a <b>catalog</b>	also <b>catalogue</b>, a complete list of items, for example of things that people can look at or buy  目录	toeic
to submit a <b>proposal</b>	a formal suggestion or plan; the act of making a suggestion  提案，提议	toeic
Is she a <b>vegetarian</b>?	a person who does not eat meat or fish  素食主义者	toeic
A chemical <b>plant</b>	a factory or place where power is produced or an industrial process takes place  工厂
<b>optical</b> effects	connected with the sense of sight or the relationship between light and sight  视觉的
Our <b>supplies</b> were running out.	supply: the things such as food, medicines, fuel, etc. that are needed by a group of people, for example an army 补给品
That particular model is not currently in <b>stock</b>.	a supply of goods that is available for sale in a shop/store  存货
<b>Eyeglasses case</b>	眼镜盒
Cleaning clothes	清洁布，有时指“<b>眼镜布</b>”
a wine <b>rack</b>	a piece of equipment, usually made of mental or wooden bars, that is used for holding things or hanging things on  架子
<b>contact</b> <b>lens</b> cases	专有名词：<b>隐形眼镜</b>
My manager told me to <b>waive</b> your delivery charge	to choose not to demand sth in particular case, even though you have legal or office rights to do so  放弃（权利，要求等），免除
School meals need to be <b>marketed</b> to children in the same way as other food.	to advertise and offer a product for sale; to present sth in a particular way and make people want to buy it  推销，促销
the woods and fields that are typical features of the English <b>landscape</b>	everything you can see when you look across a large area of land, especially in the country  （陆上，尤其乡村的）风景
We have four types of <b>booths</b>.	booth: （展览）摊位
They normally ask you to pay $100 deposit.	a sum of money that is given as the first part of a larger payment  订金
